# Track Animation Curve
# Total points: 400

1.465 0 -2.6445
1.49428 0 -2.62863
1.52279 0 -2.61203
1.55049 0 -2.59471
1.57736 0 -2.57665
1.60337 0 -2.55786
1.62848 0 -2.53833
1.65267 0 -2.51807
1.67591 0 -2.49707
1.69818 0 -2.47533
1.71943 0 -2.45285
1.73964 0 -2.42963
1.75879 0 -2.40566
1.77683 0 -2.38095
1.79375 0 -2.35549
1.80952 0 -2.32928
1.82409 0 -2.30232
1.83746 0 -2.27461
1.84958 0 -2.24615
1.86042 0 -2.21693
1.86997 0 -2.18696
1.87818 0 -2.15622
1.88503 0 -2.12473
1.89049 0 -2.09248
1.89453 0 -2.05946
1.89713 0 -2.02568
1.89831 0 -1.99116
1.8981 0 -1.95589
1.89652 0 -1.91991
1.8936 0 -1.88323
1.88937 0 -1.84585
1.88387 0 -1.8078
1.87711 0 -1.76909
1.86912 0 -1.72973
1.85994 0 -1.68975
1.84958 0 -1.64915
1.83809 0 -1.60795
1.82548 0 -1.56616
1.81179 0 -1.5238
1.79704 0 -1.48089
1.78126 0 -1.43744
1.76448 0 -1.39346
1.74672 0 -1.34897
1.72802 0 -1.30399
1.7084 0 -1.25852
1.68789 0 -1.21259
1.66653 0 -1.16621
1.64432 0 -1.11939
1.62131 0 -1.07215
1.59753 0 -1.02451
1.57299 0 -0.976473
1.54773 0 -0.92806
1.52178 0 -0.879285
1.49517 0 -0.830165
1.46791 0 -0.780712
1.44005 0 -0.730943
1.4116 0 -0.680872
1.3826 0 -0.630515
1.35307 0 -0.579885
1.32305 0 -0.528999
1.29255 0 -0.477869
1.26162 0 -0.426514
1.23027 0 -0.374945
1.19853 0 -0.323181
1.16644 0 -0.271232
1.13402 0 -0.219117
1.10129 0 -0.16685
1.06829 0 -0.114444
1.03505 0 -0.0619167
1.00158 0 -0.00928105
0.967931 0 0.0434475
0.934116 0 0.0962537
0.900166 0 0.149123
0.86611 0 0.202041
0.831977 0 0.254991
0.797793 0 0.30796
0.763587 0 0.360932
0.729387 0 0.413893
0.695221 0 0.466827
0.661116 0 0.519719
0.627102 0 0.572555
0.593205 0 0.62532
0.559453 0 0.677999
0.525876 0 0.730576
0.4925 0 0.783037
0.459353 0 0.835369
0.426466 0 0.887553
0.393862 0 0.939578
0.361574 0 0.991424
0.329626 0 1.04308
0.298048 0 1.09453
0.266867 0 1.14577
0.236113 0 1.19676
0.205811 0 1.24751
0.175991 0 1.29799
0.146681 0 1.34819
0.117908 0 1.39809
0.0897013 0 1.44769
0.0620875 0 1.49696
0.035095 0 1.54589
0.00875199 0 1.59446
-0.0169134 0 1.64266
-0.0418734 0 1.69049
-0.0661004 0 1.73791
-0.0895661 0 1.78491
-0.112242 0 1.83149
-0.134101 0 1.87762
-0.155115 0 1.9233
-0.175255 0 1.9685
-0.194494 0 2.01321
-0.212804 0 2.05741
-0.230157 0 2.1011
-0.246525 0 2.14425
-0.261878 0 2.18686
-0.276192 0 2.2289
-0.289436 0 2.27036
-0.301582 0 2.31123
-0.312604 0 2.35149
-0.322473 0 2.39112
-0.33116 0 2.43012
-0.338639 0 2.46847
-0.344881 0 2.50615
-0.349857 0 2.54314
-0.35354 0 2.57943
-0.355903 0 2.61502
-0.356926 0 2.64987
-0.356627 0 2.68401
-0.355034 0 2.71741
-0.352173 0 2.75009
-0.348073 0 2.78204
-0.342761 0 2.81327
-0.336263 0 2.84378
-0.328608 0 2.87357
-0.319822 0 2.90263
-0.309933 0 2.93098
-0.298968 0 2.9586
-0.286954 0 2.98551
-0.273919 0 3.0117
-0.25989 0 3.03717
-0.244895 0 3.06192
-0.228959 0 3.08596
-0.212112 0 3.10929
-0.19438 0 3.1319
-0.175791 0 3.1538
-0.156372 0 3.17498
-0.136149 0 3.19546
-0.115151 0 3.21522
-0.0934049 0 3.23428
-0.0709378 0 3.25262
-0.0477771 0 3.27026
-0.0239498 0 3.2872
0.000516316 0 3.30342
0.025594 0 3.31894
0.0512564 0 3.33376
0.0774758 0 3.34787
0.104225 0 3.36128
0.131477 0 3.37399
0.159204 0 3.38599
0.187379 0 3.3973
0.215974 0 3.4079
0.244964 0 3.41781
0.274318 0 3.42702
0.304012 0 3.43553
0.334016 0 3.44335
0.364306 0 3.45047
0.394852 0 3.4569
0.425627 0 3.46263
0.456604 0 3.46767
0.487756 0 3.47202
0.519056 0 3.47567
0.550476 0 3.47864
0.581989 0 3.48091
0.613567 0 3.4825
0.645184 0 3.4834
0.676812 0 3.48362
0.708424 0 3.48314
0.739991 0 3.48198
0.771489 0 3.48014
0.802888 0 3.47761
0.834161 0 3.4744
0.865282 0 3.47051
0.896223 0 3.46594
0.926956 0 3.46069
0.957454 0 3.45475
0.987691 0 3.44814
1.01764 0 3.44085
1.04727 0 3.43289
1.07656 0 3.42424
1.10547 0 3.41493
1.13399 0 3.40493
1.16208 0 3.39427
1.18972 0 3.38293
1.21687 0 3.37092
1.24352 0 3.35823
1.26964 0 3.34488
1.29519 0 3.33086
1.32015 0 3.31617
1.3445 0 3.30081
1.3682 0 3.28479
1.39123 0 3.26809
1.41356 0 3.25074
1.43516 0 3.23271
1.45601 0 3.21403
1.47609 0 3.19468
1.49535 0 3.17467
1.51377 0 3.154
1.53134 0 3.13267
1.54801 0 3.11068
1.56377 0 3.08803
1.57858 0 3.06472
1.59242 0 3.04075
1.60526 0 3.01613
1.61708 0 2.99085
1.62784 0 2.96492
1.63752 0 2.93834
1.64609 0 2.9111
1.65352 0 2.88321
1.65979 0 2.85467
1.66487 0 2.82548
1.66874 0 2.79564
1.67136 0 2.76515
1.6727 0 2.73401
1.67275 0 2.70223
1.67147 0 2.66979
